ID_Produto,Data_Producao,Tempo_Producao,Tempo_Setup,Quantidade_Produzida
P0139,2024-01-14,46,51,88
P0140,2024-01-01,133,48,77
P0141,2024-01-26,81,46,16
P0142,2024-01-30,110,57,32
P0143,2024-01-29,84,58,59
P0144,2024-01-19,102,27,20
P0145,2024-01-29,79,17,63
P0146,2024-01-01,203,42,44
P0147,2024-01-12,134,48,18
P0148,2024-01-31,231,31,58
P0149,2024-01-22,128,12,87
P0150,2024-01-27,128,12,84
P0151,2024-01-03,216,33,27
P0152,2024-01-19,74,49,97
P0153,2024-01-20,201,12,27
P0154,2024-01-26,240,35,94
P0155,2024-01-18,96,49,26
P0156,2024-01-10,214,31,71
P0157,2024-01-21,231,42,75
P0158,2024-01-30,176,39,35
P0159,2024-01-14,59,56,64
P0160,2024-01-18,47,46,52
P0161,2024-01-15,218,19,42
P0162,2024-01-09,92,50,22
P0163,2024-01-16,127,26,11
P0164,2024-01-08,99,29,69
P0165,2024-01-16,55,10,80
P0166,2024-01-20,76,42,45
P0167,2024-01-07,149,48,31
P0168,2024-01-22,35,43,14
P0169,2024-01-20,108,34,89
P0170,2024-01-05,171,40,69
P0171,2024-01-16,131,45,16
P0172,2024-01-10,69,51,30
P0173,2024-01-12,103,45,49
P0174,2024-01-06,90,12,56
P0175,2024-01-20,148,15,10
P0176,2024-01-23,80,20,75
P0177,2024-01-19,86,21,78
P0178,2024-01-29,105,47,54
P0179,2024-01-08,106,29,30
P0180,2024-01-05,115,33,71
P0181,2024-01-28,70,36,35
P0182,2024-01-10,129,36,16
P0183,2024-01-07,100,48,72
P0184,2024-01-16,133,21,66
P0185,2024-01-08,230,13,21
P0186,2024-01-20,204,48,75
P0187,2024-01-25,151,17,11
P0188,2024-01-03,111,25,40
P0189,2024-01-03,188,22,19
P0190,2024-01-09,130,49,94
P0191,2024-01-28,208,18,83
P0192,2024-01-04,85,10,99
P0193,2024-01-30,45,20,97
P0194,2024-01-25,111,27,41
P0195,2024-01-23,104,48,64
P0196,2024-01-03,31,44,79
P0197,2024-01-13,230,48,95
P0198,2024-01-14,134,31,100
P0199,2024-01-21,59,41,27
P0200,2024-01-14,214,51,66
P0201,2024-01-15,221,44,81
P0202,2024-01-02,134,20,29
P0203,2024-01-21,180,50,67
P0204,2024-01-15,219,43,32
P0205,2024-01-31,231,45,66
P0206,2024-01-18,237,22,82
P0207,2024-01-06,181,24,24
P0208,2024-01-03,225,55,21
P0209,2024-01-27,160,25,12
P0210,2024-01-02,235,34,100
P0211,2024-01-12,55,46,84
P0212,2024-01-31,237,14,16
P0213,2024-01-11,114,27,76
P0214,2024-01-15,213,47,51
P0215,2024-01-25,65,56,22
P0216,2024-01-04,230,14,38
P0217,2024-01-18,166,56,51
P0218,2024-01-19,220,40,43
P0219,2024-01-29,59,42,78
P0220,2024-01-05,33,31,10
P0221,2024-01-19,153,19,71
P0222,2024-01-17,91,22,32
P0223,2024-01-16,174,19,49
P0224,2024-01-15,93,28,51
P0225,2024-01-08,176,37,70
P0226,2024-01-07,193,50,54
P0227,2024-01-22,39,37,89
P0228,2024-01-11,57,17,92
P0229,2024-01-24,184,43,54
P0230,2024-01-23,120,42,32
P0231,2024-01-13,186,48,57
P0232,2024-01-23,126,12,82
P0233,2024-01-25,231,60,53
P0234,2024-01-08,235,47,63
P0235,2024-01-11,48,37,16
P0236,2024-01-25,172,58,97
P0237,2024-01-23,145,17,57
P0238,2024-01-07,108,43,25
P0239,2024-01-27,187,16,52
P0240,2024-01-14,217,23,61
P0241,2024-01-09,226,41,15
P0242,2024-01-24,73,44,91
P0243,2024-01-22,202,25,77
P0244,2024-01-07,126,30,92
P0245,2024-01-13,169,25,43
P0246,2024-01-13,170,48,41
P0247,2024-01-05,44,51,42
P0248,2024-01-06,211,54,33
P0249,2024-01-04,167,40,41
P0250,2024-01-25,219,37,63
P0251,2024-01-20,108,47,31
P0252,2024-01-27,223,52,69
P0253,2024-01-08,97,33,45
P0254,2024-01-03,59,49,88
P0255,2024-01-03,94,60,92
P0256,2024-01-15,59,59,88
P0257,2024-01-24,133,36,35
P0258,2024-01-28,228,49,86
P0259,2024-01-23,152,42,59
P0260,2024-01-30,89,32,50
P0261,2024-01-25,236,41,26
P0262,2024-01-05,77,27,50
P0263,2024-01-30,128,54,98
P0264,2024-01-14,155,24,56
P0265,2024-01-26,113,54,15
P0266,2024-01-01,179,46,10
P0267,2024-01-19,228,27,90
P0268,2024-01-12,221,18,38
P0269,2024-01-24,184,46,70
P0270,2024-01-18,239,25,39
P0271,2024-01-19,94,30,13
P0272,2024-01-19,164,35,88
P0273,2024-01-10,49,19,79
P0274,2024-01-18,46,32,70
P0275,2024-01-10,52,33,65
P0276,2024-01-16,100,30,19
P0277,2024-01-14,232,38,45
P0278,2024-01-04,127,37,63
P0279,2024-01-23,234,11,59
P0280,2024-01-05,136,34,50
P0281,2024-01-19,109,14,91
P0282,2024-01-30,206,49,69
P0283,2024-01-31,115,43,15
P0284,2024-01-05,96,41,21
P0285,2024-01-02,62,27,35
P0286,2024-01-27,197,43,29
P0287,2024-01-27,85,30,33
P0288,2024-01-09,152,30,99
P0289,2024-01-30,44,42,54
P0290,2024-01-20,215,41,82
P0291,2024-01-26,96,22,64
P0292,2024-01-28,105,35,42
P0293,2024-01-19,155,29,84
P0294,2024-01-15,147,34,12
P0295,2024-01-20,168,37,48
P0296,2024-01-11,190,18,21
P0297,2024-01-05,211,45,95
P0298,2024-01-23,180,40,18
P0299,2024-01-01,125,44,35
P0300,2024-01-17,213,25,31
P0301,2024-01-23,110,51,14
P0302,2024-01-19,101,41,46
P0303,2024-01-20,60,53,96
P0304,2024-01-29,122,40,52
P0305,2024-01-01,62,37,73
P0306,2024-01-25,46,29,18
P0307,2024-01-12,76,11,38
P0308,2024-01-25,71,59,24
P0309,2024-01-14,239,43,82
P0310,2024-01-08,54,60,75
P0311,2024-01-26,118,57,38
P0312,2024-01-25,122,51,48
P0313,2024-01-12,31,53,86
P0314,2024-01-30,111,29,15
P0315,2024-01-08,95,20,85
P0316,2024-01-31,211,56,68
P0317,2024-01-21,182,14,21
P0318,2024-01-28,38,51,46
P0319,2024-01-29,158,25,72
P0320,2024-01-13,99,19,89
P0321,2024-01-29,71,35,65
P0322,2024-01-06,153,38,39
P0323,2024-01-21,116,44,97
P0324,2024-01-06,169,19,53
P0325,2024-01-19,52,17,48
P0326,2024-01-25,127,33,29
P0327,2024-01-01,38,40,73
P0328,2024-01-05,76,23,97
P0329,2024-01-30,210,25,24
P0330,2024-01-05,209,36,55
P0331,2024-01-19,32,46,97
P0332,2024-01-22,156,23,49
P0333,2024-01-27,169,44,80
P0334,2024-01-11,144,55,25
P0335,2024-01-28,107,43,70
P0336,2024-01-27,236,13,62
P0337,2024-01-27,71,56,45
P0338,2024-01-21,55,31,73
P0339,2024-01-16,119,38,35
P0340,2024-01-15,146,37,50
P0341,2024-01-31,192,54,99
P0342,2024-01-27,215,56,73
P0343,2024-01-27,116,16,79
P0344,2024-01-13,114,41,17
P0345,2024-01-28,145,28,32
P0346,2024-01-03,224,20,34
P0347,2024-01-17,88,14,52
P0348,2024-01-02,239,12,88
P0349,2024-01-15,42,43,55
P0350,2024-01-12,54,45,35
P0351,2024-01-28,71,22,88
P0352,2024-01-22,75,27,23
P0353,2024-01-30,131,35,72
P0354,2024-01-04,38,21,28
P0355,2024-01-10,80,49,16
P0356,2024-01-21,222,46,74
P0357,2024-01-06,167,20,68
P0358,2024-01-12,130,42,32
P0359,2024-01-07,176,35,17
P0360,2024-01-22,118,54,86
P0361,2024-01-25,221,41,68
P0362,2024-01-22,200,21,40
P0363,2024-01-03,185,35,15
P0364,2024-01-06,111,21,86
P0365,2024-01-02,104,55,62
P0366,2024-01-08,202,43,70
P0367,2024-01-23,139,44,64
P0368,2024-01-03,131,40,28
P0369,2024-01-17,237,34,22
P0370,2024-01-17,77,11,85
P0371,2024-01-25,111,10,46
P0372,2024-01-09,144,48,97
P0373,2024-01-30,85,45,30
P0374,2024-01-16,66,46,46
P0375,2024-01-30,134,50,30
P0376,2024-01-07,232,12,83
P0377,2024-01-15,87,14,29
P0378,2024-01-28,181,28,70
P0379,2024-01-19,160,16,69
P0380,2024-01-19,112,19,22
P0381,2024-01-29,89,30,36
P0382,2024-01-03,177,41,87
P0383,2024-01-24,165,50,17
P0384,2024-01-26,229,54,52
P0385,2024-01-10,200,27,93
P0386,2024-01-23,126,51,37
P0387,2024-01-17,112,32,21
P0388,2024-01-03,94,20,33
P0389,2024-01-19,203,35,72
P0390,2024-01-29,48,32,24
P0391,2024-01-07,79,50,79
P0392,2024-01-12,118,32,76
P0393,2024-01-10,56,34,22
P0394,2024-01-03,237,44,32
P0395,2024-01-16,130,26,78
P0396,2024-01-23,213,39,60
P0397,2024-01-02,182,56,76
P0398,2024-01-30,154,16,16
P0399,2024-01-01,66,33,57
P0400,2024-01-03,149,38,85
P0401,2024-01-26,72,25,17
P0402,2024-01-11,140,32,93
P0403,2024-01-28,112,12,47
P0404,2024-01-06,226,16,37
P0405,2024-01-28,73,39,22
P0406,2024-01-17,46,21,75
P0407,2024-01-16,36,52,71
P0408,2024-01-16,58,45,95
P0409,2024-01-05,113,30,78
P0410,2024-01-07,102,32,25
P0411,2024-01-25,32,60,70
P0412,2024-01-27,240,15,16
P0413,2024-01-15,98,47,56
P0414,2024-01-09,65,14,94
P0415,2024-01-14,199,17,85
P0416,2024-01-10,234,12,27
P0417,2024-01-29,237,46,80
P0418,2024-01-16,32,48,58
P0419,2024-01-28,59,13,32
P0420,2024-01-13,153,44,91
P0421,2024-01-08,107,59,97
P0422,2024-01-13,51,35,83
P0423,2024-01-24,206,13,74
P0424,2024-01-15,125,16,80
P0425,2024-01-15,156,40,54
P0426,2024-01-19,123,47,20
P0427,2024-01-14,112,17,55
P0428,2024-01-06,88,33,47
P0429,2024-01-08,36,33,65
P0430,2024-01-20,236,33,42
P0431,2024-01-13,156,49,85
P0432,2024-01-02,144,11,18
P0433,2024-01-17,221,41,38
P0434,2024-01-26,171,50,78
P0435,2024-01-08,89,39,59
P0436,2024-01-04,80,47,83
P0437,2024-01-07,80,40,37
P0438,2024-01-04,219,60,49
P0439,2024-01-18,237,15,41
P0440,2024-01-26,129,57,43
P0441,2024-01-23,106,26,14
P0442,2024-01-09,211,55,24
P0443,2024-01-17,164,21,36
P0444,2024-01-03,162,16,72
P0445,2024-01-26,57,53,31
P0446,2024-01-06,174,28,51
P0447,2024-01-01,130,40,94
P0448,2024-01-05,214,41,34
P0449,2024-01-29,170,48,11
P0450,2024-01-01,57,45,56
P0451,2024-01-14,184,35,73
P0452,2024-01-21,119,32,76
P0453,2024-01-28,109,46,18
P0454,2024-01-30,46,22,80
P0455,2024-01-28,210,30,42
P0456,2024-01-13,146,28,67
P0457,2024-01-02,208,22,100
P0458,2024-01-05,66,16,80
P0459,2024-01-26,183,53,79
P0460,2024-01-16,178,10,43
P0461,2024-01-05,208,18,91
P0462,2024-01-07,116,32,81
P0463,2024-01-14,214,22,66
P0464,2024-01-24,228,56,17
P0465,2024-01-24,176,55,83
P0466,2024-01-13,123,41,36
P0467,2024-01-08,36,55,68
P0468,2024-01-23,143,37,76
P0469,2024-01-29,164,24,37
P0470,2024-01-22,113,26,57
P0471,2024-01-13,64,11,35
P0472,2024-01-15,227,14,92
P0473,2024-01-07,96,21,72
P0474,2024-01-12,101,56,30
P0475,2024-01-01,89,33,14
P0476,2024-01-14,99,55,89
P0477,2024-01-28,54,52,45
P0478,2024-01-06,216,39,93
P0479,2024-01-19,100,19,30
P0480,2024-01-24,197,26,19
P0481,2024-01-14,125,48,47
P0482,2024-01-10,80,56,41
P0483,2024-01-28,70,15,73
P0484,2024-01-15,205,54,55
P0485,2024-01-23,223,18,99
P0486,2024-01-20,82,45,68
P0487,2024-01-05,54,44,92
P0488,2024-01-03,99,58,92
P0489,2024-01-21,231,17,89
P0490,2024-01-22,163,51,14
P0491,2024-01-11,88,37,58
P0492,2024-01-11,203,42,24
P0493,2024-01-14,79,60,55
P0494,2024-01-31,189,31,91
P0495,2024-01-13,121,29,11
P0496,2024-01-23,215,29,76
P0497,2024-01-18,212,42,74
P0498,2024-01-15,55,59,71
P0499,2024-01-10,160,46,35
P0500,2024-01-01,231,26,60
P0501,2024-01-31,37,32,62
P0502,2024-01-24,219,20,58
P0503,2024-01-15,132,27,69
P0504,2024-01-09,155,44,55
P0505,2024-01-11,118,58,87
P0506,2024-01-29,239,36,53
P0507,2024-01-10,128,42,80
P0508,2024-01-17,79,49,97
P0509,2024-01-23,181,29,77
P0510,2024-01-30,168,13,37
P0511,2024-01-03,128,60,97
P0512,2024-01-09,167,48,18
P0513,2024-01-28,190,23,79
P0514,2024-01-09,33,19,92
P0515,2024-01-24,162,44,76
P0516,2024-01-11,147,31,100
P0517,2024-01-30,74,47,56
P0518,2024-01-01,66,28,86
P0519,2024-01-29,201,56,93
P0520,2024-01-31,198,36,41
P0521,2024-01-13,136,19,96
P0522,2024-01-16,91,34,68
P0523,2024-01-25,228,29,16
P0524,2024-01-20,157,35,42
P0525,2024-01-16,223,27,60
P0526,2024-01-19,233,45,76
P0527,2024-01-26,225,57,11
P0528,2024-01-08,52,44,38
P0529,2024-01-04,58,59,81
P0530,2024-01-02,174,25,13
P0531,2024-01-28,232,11,91
P0532,2024-01-09,123,31,49
P0533,2024-01-10,216,54,49
P0534,2024-01-13,216,28,23
P0535,2024-01-26,133,19,11
P0536,2024-01-02,113,44,96
P0537,2024-01-11,123,29,16
P0538,2024-01-25,83,29,49
P0539,2024-01-17,89,26,31
P0540,2024-01-07,102,33,67
P0541,2024-01-23,147,13,37
P0542,2024-01-14,111,29,34
P0543,2024-01-05,157,20,80
P0544,2024-01-31,156,21,69
P0545,2024-01-03,222,10,95
P0546,2024-01-04,33,52,27
P0547,2024-01-22,97,46,22
P0548,2024-01-20,180,18,39
P0549,2024-01-25,231,20,44
P0550,2024-01-04,178,48,100
P0551,2024-01-24,157,60,96
P0552,2024-01-30,52,48,38
P0553,2024-01-27,187,14,19
P0554,2024-01-11,46,55,73
P0555,2024-01-07,181,33,51
P0556,2024-01-03,54,42,89
P0557,2024-01-16,77,17,44
P0558,2024-01-18,65,39,100
P0559,2024-01-13,71,47,43
P0560,2024-01-12,85,47,58
P0561,2024-01-14,71,25,95
P0562,2024-01-29,239,60,75
P0563,2024-01-29,169,45,73
P0564,2024-01-24,100,48,57
P0565,2024-01-31,214,56,77
P0566,2024-01-26,185,26,68
P0567,2024-01-03,234,13,38
P0568,2024-01-16,128,32,36
P0569,2024-01-11,125,26,28
P0570,2024-01-08,81,46,61
P0571,2024-01-11,138,46,78
P0572,2024-01-07,179,26,21
P0573,2024-01-29,153,27,90
P0574,2024-01-13,81,59,59
P0575,2024-01-08,41,16,20
P0576,2024-01-06,170,28,57
P0577,2024-01-20,33,15,72
P0578,2024-01-29,105,28,16
P0579,2024-01-17,232,10,58
P0580,2024-01-26,165,24,52
P0581,2024-01-22,222,42,43
P0582,2024-01-06,137,24,17
P0583,2024-01-28,156,35,53
P0584,2024-01-07,160,42,28
P0585,2024-01-30,134,35,28
P0586,2024-01-15,229,57,73
P0587,2024-01-17,54,25,86
P0588,2024-01-18,115,51,62
P0589,2024-01-07,180,33,84
P0590,2024-01-14,116,22,50
P0591,2024-01-17,154,50,12
P0592,2024-01-24,69,23,27
P0593,2024-01-23,106,60,75
P0594,2024-01-30,68,59,80
P0595,2024-01-04,193,47,57
P0596,2024-01-15,123,52,90
P0597,2024-01-14,236,33,31
P0598,2024-01-17,195,44,25
P0599,2024-01-20,112,23,75
P0600,2024-01-09,149,46,39
P0601,2024-01-10,220,55,17
P0602,2024-01-05,221,48,52
P0603,2024-01-01,68,39,98
P0604,2024-01-18,235,52,26
P0605,2024-01-12,134,50,60
P0606,2024-01-11,81,44,80
P0607,2024-01-08,44,27,10
P0608,2024-01-19,187,60,69
P0609,2024-01-08,53,25,26
P0610,2024-01-02,190,27,66
P0611,2024-01-14,30,10,99
P0612,2024-01-31,223,16,96
P0613,2024-01-22,208,37,21
P0614,2024-01-08,94,37,91
P0615,2024-01-31,58,47,91
P0616,2024-01-22,219,19,65
P0617,2024-01-22,223,19,77
P0618,2024-01-26,43,43,88
P0619,2024-01-08,180,51,56
P0620,2024-01-23,84,59,12
P0621,2024-01-13,43,27,72
P0622,2024-01-04,203,20,80
P0623,2024-01-29,59,42,20
P0624,2024-01-27,225,42,80
P0625,2024-01-05,198,51,13
P0626,2024-01-27,103,52,28
P0627,2024-01-27,180,55,23
P0628,2024-01-23,171,57,32
P0629,2024-01-04,59,23,71
P0630,2024-01-23,151,54,23
P0631,2024-01-09,104,57,33
P0632,2024-01-02,89,34,60
P0633,2024-01-09,237,32,18
P0634,2024-01-24,58,54,89
P0635,2024-01-16,52,31,42
P0636,2024-01-27,129,23,93
P0637,2024-01-14,209,10,94
P0638,2024-01-29,55,40,58
P0639,2024-01-28,62,33,93
P0640,2024-01-20,115,55,20
P0641,2024-01-24,92,11,27
P0642,2024-01-16,73,56,17
P0643,2024-01-24,209,46,61
P0644,2024-01-25,172,38,92
P0645,2024-01-10,173,51,36
P0646,2024-01-28,50,44,38
P0647,2024-01-22,153,13,40
P0648,2024-01-30,223,18,84
P0649,2024-01-17,135,13,76
P0650,2024-01-21,129,54,78
P0651,2024-01-28,168,34,44
P0652,2024-01-02,105,37,49
P0653,2024-01-30,31,21,71
P0654,2024-01-06,88,53,18
P0655,2024-01-05,229,30,25
P0656,2024-01-11,147,39,90
P0657,2024-01-19,183,38,24
P0658,2024-01-25,109,46,98
P0659,2024-01-27,146,17,15
P0660,2024-01-15,239,42,45
P0661,2024-01-16,210,52,21
P0662,2024-01-11,110,24,31
P0663,2024-01-11,231,42,47
P0664,2024-01-18,198,44,44
P0665,2024-01-09,222,58,56
P0666,2024-01-21,52,42,53
P0667,2024-01-10,83,45,98
P0668,2024-01-05,32,21,19
P0669,2024-01-24,43,47,69
P0670,2024-01-22,160,53,56
P0671,2024-01-09,102,35,92
P0672,2024-01-18,228,51,66
P0673,2024-01-20,187,29,46
P0674,2024-01-21,128,43,43
P0675,2024-01-11,127,26,48
P0676,2024-01-21,210,60,15
P0677,2024-01-24,90,54,86
P0678,2024-01-15,198,27,28
P0679,2024-01-14,34,32,79
P0680,2024-01-04,100,55,55
P0681,2024-01-20,146,36,74
P0682,2024-01-27,77,54,55
P0683,2024-01-07,191,22,32
P0684,2024-01-05,224,24,95
P0685,2024-01-27,85,48,99
P0686,2024-01-24,206,48,93
P0687,2024-01-06,39,39,54
P0688,2024-01-16,132,55,58
P0689,2024-01-16,169,14,75
P0690,2024-01-21,114,14,84
P0691,2024-01-03,95,55,49
P0692,2024-01-22,52,30,21
P0693,2024-01-29,193,22,71
P0694,2024-01-07,114,27,82
P0695,2024-01-17,206,13,15
P0696,2024-01-05,43,15,93
P0697,2024-01-26,170,12,31
P0698,2024-01-30,161,39,41
P0699,2024-01-31,106,48,15
P0700,2024-01-16,238,14,50
P0701,2024-01-17,145,10,40
P0702,2024-01-02,51,10,43
P0703,2024-01-08,184,32,28
P0704,2024-01-29,197,44,63
P0705,2024-01-03,84,10,93
P0706,2024-01-02,240,17,74
P0707,2024-01-31,234,52,52
P0708,2024-01-19,59,49,39
P0709,2024-01-19,166,35,12
P0710,2024-01-22,118,14,28
P0711,2024-01-27,174,27,22
P0712,2024-01-19,79,56,34
P0713,2024-01-01,37,23,82
P0714,2024-01-09,229,58,13
P0715,2024-01-19,34,13,71
P0716,2024-01-23,232,26,55
P0717,2024-01-21,121,58,98
P0718,2024-01-03,133,32,75
P0719,2024-01-02,184,52,65
P0720,2024-01-14,165,22,23
P0721,2024-01-27,221,32,52
P0722,2024-01-01,63,10,17
P0723,2024-01-15,53,28,45
P0724,2024-01-01,183,40,64
P0725,2024-01-20,219,41,13
P0726,2024-01-15,61,48,15
P0727,2024-01-29,38,55,84
P0728,2024-01-23,32,31,82
P0729,2024-01-26,65,59,24
P0730,2024-01-22,145,42,65
P0731,2024-01-10,238,41,83
P0732,2024-01-12,95,50,90
P0733,2024-01-06,166,19,42
P0734,2024-01-23,183,33,63
P0735,2024-01-10,107,55,24
P0736,2024-01-25,144,33,69
P0737,2024-01-07,36,24,79
P0738,2024-01-27,178,23,31
P0739,2024-01-24,102,54,93
P0740,2024-01-16,195,22,19
P0741,2024-01-29,130,37,16
P0742,2024-01-09,69,51,76
P0743,2024-01-07,41,56,76
P0744,2024-01-13,217,37,55
P0745,2024-01-25,120,42,66
P0746,2024-01-12,111,14,85
P0747,2024-01-08,45,30,92
P0748,2024-01-06,118,51,55
P0749,2024-01-27,121,40,81
P0750,2024-01-21,149,39,57
P0751,2024-01-01,85,32,50
P0752,2024-01-19,31,15,63
P0753,2024-01-11,160,41,37
P0754,2024-01-31,236,35,66
P0755,2024-01-26,192,39,49
P0756,2024-01-18,232,57,47
P0757,2024-01-10,100,18,23
P0758,2024-01-27,222,18,20
P0759,2024-01-12,62,14,20
P0760,2024-01-03,32,50,86
P0761,2024-01-05,52,14,44
P0762,2024-01-28,172,43,64
P0763,2024-01-25,122,28,28
P0764,2024-01-27,96,59,34
P0765,2024-01-11,82,43,89
P0766,2024-01-07,133,12,64
P0767,2024-01-13,50,18,12
P0768,2024-01-10,46,55,75
P0769,2024-01-22,163,48,57
P0770,2024-01-14,54,42,74
P0771,2024-01-09,140,19,74
P0772,2024-01-24,109,18,24
P0773,2024-01-20,222,13,46
P0774,2024-01-09,130,50,55
P0775,2024-01-26,177,13,12
P0776,2024-01-19,70,13,52
P0777,2024-01-01,96,47,83
P0778,2024-01-24,80,55,19
P0779,2024-01-08,195,36,13
P0780,2024-01-02,68,59,25
P0781,2024-01-12,137,15,44
P0782,2024-01-31,83,16,33
P0783,2024-01-24,45,34,85
P0784,2024-01-03,47,28,97
P0785,2024-01-02,232,50,62
P0786,2024-01-07,61,40,58
P0787,2024-01-11,236,56,79
P0788,2024-01-26,186,17,93
P0789,2024-01-01,152,21,25
P0790,2024-01-03,60,45,79
P0791,2024-01-11,193,52,35
P0792,2024-01-11,98,48,34
P0793,2024-01-01,205,31,77
P0794,2024-01-21,152,42,49
P0795,2024-01-07,114,31,68
P0796,2024-01-08,77,53,96
P0797,2024-01-09,67,19,42
P0798,2024-01-11,124,34,43
P0799,2024-01-21,171,20,54
P0800,2024-01-09,75,58,20
P0801,2024-01-28,46,12,29
P0802,2024-01-20,126,39,40
P0803,2024-01-08,237,22,100
P0804,2024-01-03,227,29,31
P0805,2024-01-05,53,23,88
P0806,2024-01-11,156,18,84
P0807,2024-01-20,147,21,61
P0808,2024-01-02,89,55,99
P0809,2024-01-22,176,15,24
P0810,2024-01-26,66,19,37
P0811,2024-01-10,229,44,28
P0812,2024-01-19,105,58,83
P0813,2024-01-30,89,14,19
P0814,2024-01-10,35,18,72
P0815,2024-01-04,132,40,46
P0816,2024-01-23,59,19,39
P0817,2024-01-06,109,39,77
P0818,2024-01-07,129,16,79
